class,image,signatureSample0,signatureSample1,signatureSample2,signatureSample3,signatureSample4,signatureSample5,signatureSample6,signatureSample7,signatureSample8,signatureSample9,signatureSample10,signatureSample11,signatureSample12,signatureSample13,signatureSample14,signatureSample15,signatureSample16,signatureSample17,signatureSample18,signatureSample19,signatureSample20,signatureSample21,signatureSample22,signatureSample23,signatureSample24,signatureSample25,signatureSample26,signatureSample27,signatureSample28,signatureSample29,signatureSample30,signatureSample31,signatureSample32,signatureSample33,signatureSample34,signatureSample35,signatureSample36,signatureSample37,signatureSample38,signatureSample39,signatureSample40,signatureSample41,signatureSample42,signatureSample43,signatureSample44,signatureSample45,signatureSample46,signatureSample47,signatureSample48,signatureSample49,signatureSample50,signatureSample51,signatureSample52,signatureSample53,signatureSample54,signatureSample55,signatureSample56,signatureSample57,signatureSample58,signatureSample59,signatureSample60,signatureSample61,signatureSample62,signatureSample63,signatureSample64,signatureSample65,signatureSample66,signatureSample67,signatureSample68,signatureSample69,signatureSample70,signatureSample71,signatureSample72,signatureSample73,signatureSample74,signatureSample75,signatureSample76,signatureSample77,signatureSample78,signatureSample79,signatureSample80,signatureSample81,signatureSample82,signatureSample83,signatureSample84,signatureSample85,signatureSample86,signatureSample87,signatureSample88,signatureSample89,signatureSample90,signatureSample91,signatureSample92,signatureSample93,signatureSample94,signatureSample95,signatureSample96,signatureSample97,signatureSample98,signatureSample99
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c11c-2.PNG,27.583,26.533,25.5336,24.5342,22.5357,21.5365,20.6051,18.5395,17.5407,16.5184,14.5184,13.5185,12.5185,11.5185,9.51863,8.56459,7.57074,5.58964,4.89814,3.99446,2.42562,1.96153,2.93178,3.24951,4.52628,5.33396,6.19799,8.43367,9.33224,10.2496,11.8406,13.0747,13.7886,14.7679,16.5902,17.5047,18.4823,20.5902,19.7284,19.9104,20.4171,20.7382,21.1019,21.5059,22.4263,22.938,23.4813,24.6537,25.2788,25.1847,25.1847,25.2788,24.6537,24.0538,22.938,22.4263,22.8404,22.0285,21.6803,21.3734,20.8899,20.7165,20.5902,19.5135,18.5035,17.5841,16.5902,15.9637,14.9958,13.7886,12.1236,11.1812,10.2496,9.33224,7.09782,6.72301,5.9359,4.61596,4.1645,3.92162,3.2661,3.83451,3.99446,4.89814,6.78704,7.75241,8.72559,10.5558,11.5525,12.5498,14.5454,15.5436,16.5184,17.5407,19.5384,20.6051,21.601,23.594,24.5909,25.5881
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c11ci-2.PNG,47.7977,46.6206,44.3079,43.32,41.0651,38.9696,37.8878,35.7939,34.786,32.8078,30.8649,29.8675,27.9707,26.9775,25.1411,23.1718,22.1893,20.461,19.2523,17.3064,15.3743,14.4152,12.8875,11.0881,10.2164,8.55765,8.49071,6.37674,5.05189,4.57722,5.21911,4.38624,4.54626,6.12595,6.59752,8.508,9.29441,11.2803,13.2164,14.2665,16.2337,18.2316,19.2975,21.2897,22.3886,24.5088,26.6479,27.6322,29.782,30.7636,32.9215,30.7636,29.604,27.4767,26.4866,24.3744,22.2863,21.2897,19.2975,18.2316,16.2337,14.2665,13.2704,11.4313,9.29441,8.508,6.59752,6.12595,4.54626,4.38624,5.21911,5.51184,5.91193,7.07758,8.55765,9.37038,11.0881,11.9798,13.4621,15.678,16.6243,18.534,20.461,21.2083,23.1718,24.0016,25.9849,27.9707,28.8704,30.8649,31.8085,33.8071,35.7939,36.8286,38.8852,39.965,42.0584,44.3079,45.457,47.4286
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c11i-1.PNG,6.46297,6.46297,6.46297,6.46297,5.47449,5.47449,5.47449,5.47449,4.40114,4.40114,4.40114,3.40147,3.40147,3.40147,3.40147,2.40208,2.40208,2.40208,1.40357,1.40357,1.40357,1.40357,0.412312,0.412312,0.412312,0.608274,0.608274,0.608274,0.608274,1.60312,1.60312,1.60312,1.60312,2.60192,2.60192,2.60192,3.60139,3.60139,3.60139,3.60139,4.72969,4.72969,4.72969,5.70701,5.70701,5.70701,5.70701,6.69104,6.69104,6.69104,7.67919,7.67919,7.67919,7.67919,6.69104,6.69104,6.69104,6.69104,5.60089,5.60089,5.60089,4.60109,4.60109,4.60109,4.60109,3.60139,3.60139,3.60139,2.60192,2.60192,2.60192,2.60192,1.60312,1.60312,1.60312,0.608274,0.608274,0.608274,0.608274,0.412312,0.412312,0.412312,0.412312,1.40357,1.40357,1.40357,2.5632,2.5632,2.5632,2.5632,3.5171,3.5171,3.5171,4.4911,4.4911,4.4911,4.4911,5.47449,5.47449,5.47449
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c11i-2.PNG,20.2971,20.2971,19.4158,18.0614,17.1818,15.8257,14.9484,14.9484,14.0874,12.716,11.8615,11.0316,9.64038,9.64038,8.82819,7.42821,6.64668,5.23639,3.82898,3.82898,2.42951,1.70367,0.379311,1.17697,2.57422,3.98347,3.98347,4.78205,6.17328,7.57303,8.38754,9.77712,9.77712,10.6109,11.9931,13.3819,14.7755,15.5986,15.5986,16.987,17.5727,18.3793,19.7747,21.1727,21.1727,22.5726,23.1898,24.5969,26.0048,26.655,27.3264,27.3264,26.655,26.0048,24.5969,23.9742,22.5726,22.5726,21.1727,20.5922,19.2041,17.8201,16.987,16.987,15.5986,14.2153,12.8388,11.9931,10.6109,10.6109,9.23855,7.88095,7.00781,5.64518,4.31586,3.40979,3.40979,2.0941,1.06952,1.37931,2.58091,3.10823,3.10823,4.51882,5.93113,6.64668,8.05835,8.82819,8.82819,10.2321,11.6385,12.428,13.2459,14.636,14.636,15.4665,16.316,17.691,18.5465,19.4158
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c11n-2.PNG,19.2525,19.2525,17.8398,17.8398,17.1127,15.6985,15.6985,14.2844,13.5877,13.5877,12.1748,10.7623,10.7623,9.35023,9.35023,8.71838,7.32189,7.32189,5.93381,4.56181,4.56181,4.17055,2.99891,2.99891,2.14324,1.26891,1.26891,1.79169,1.79169,2.96819,3.43901,3.43901,4.84013,5.65775,5.65775,6.24715,7.65682,7.65682,9.0679,9.0679,10.4798,11.8923,11.8923,12.5874,14.0016,14.0016,14.733,16.145,16.145,16.902,17.6831,17.6831,16.2817,16.2817,15.4944,14.733,14.733,13.3214,11.9105,11.9105,11.1733,9.75928,9.75928,8.34527,8.34527,6.93134,6.24715,6.24715,4.84013,3.43901,3.43901,2.05592,0.791712,0.791712,1.01331,2.00253,2.00253,3.22647,3.22647,4.56181,5.93381,5.93381,7.32189,8.71838,8.71838,9.35023,10.7623,10.7623,12.1748,12.1748,12.8703,13.6037,13.6037,15.0153,16.4274,16.4274,17.1836,18.5924,18.5924,20.0019
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c11ni-2.PNG,36.1696,34.9165,34.6399,32.2145,31.0273,29.86,27.7256,26.6014,24.5096,23.5135,22.4457,20.4485,19.4501,17.4182,16.4413,15.4182,13.4466,12.4489,10.4549,9.4588,8.46365,6.47783,5.48878,4.50457,2.57294,1.66868,1.96809,2.4572,3.1941,4.95289,5.8903,7.81182,9.05256,10.0057,11.7338,12.7219,14.7029,15.6952,16.6885,18.603,19.602,20.6679,22.5994,23.5825,25.5825,26.6058,27.605,29.6581,30.6556,32.7313,33.834,32.7313,30.6027,29.6034,27.5825,26.5825,25.5825,23.5986,22.5994,20.6679,19.6723,18.6771,16.6885,15.6952,14.7029,12.9076,11.9349,10.0057,9.05256,8.11076,6.28137,5.41213,3.86811,2.4572,1.96809,2.35467,3.06269,4.80116,5.73469,6.68747,8.62516,9.60359,10.4549,12.4489,13.4466,15.4429,16.4413,17.4182,19.4181,20.4181,22.4457,23.4445,24.4435,26.6014,27.5947,29.86,31.0273,32.0083,33.4193,34.6399
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c12-2.PNG,59.259,57.9976,56.7787,54.7899,53.6473,51.7122,49.288,46.5558,44.7164,42.0201,40.2468,37.6023,34.6282,32.0818,29.5868,28.3627,25.9725,23.6792,20.5147,18.4915,16.4915,14.5276,12.5334,10.685,8.07892,6.8082,6.11836,5.24103,6.04575,7.45881,8.92664,10.282,11.8217,13.4828,15.2257,17.4615,20.1731,22.4062,24.2502,26.1172,28.0025,29.9027,32.7754,34.7024,36.6373,38.5788,40.5261,42.7018,45.2261,47.1957,49.1677,47.3759,45.4142,42.7018,40.7604,38.8249,36.8964,34.9758,33.0647,30.2196,28.3406,26.4793,24.6398,22.4062,20.5913,17.943,15.7121,14.0298,12.4419,10.282,8.92664,7.45881,6.04575,6.20621,6.11836,6.8082,8.50397,10.9187,12.6545,14.5276,16.5233,18.4915,20.5147,23.6792,25.7996,28.1334,29.5868,31.7851,34.2952,37.2153,38.9213,41.5781,44.2561,46.9518,48.7889,51.1781,53.095,54.2124,56.186,57.3827
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c12c-2.PNG,23.4843,23.4843,22.9434,21.5696,20.2013,18.8399,18.8399,17.4868,16.1442,14.8149,13.9083,12.5813,12.5813,11.2754,9.99913,9.05213,7.79668,7.79668,6.60571,5.62084,4.52117,3.52127,2.69194,2.69194,2.46856,2.01299,2.00261,3.2951,3.2951,3.84916,5.25959,5.36029,6.75129,7.5854,7.5854,8.45557,9.81549,10.6912,11.5871,11.5871,12.4988,13.423,14.3574,15.3001,16.2497,16.2497,17.5185,18.4623,19.4118,20.366,21.3245,21.3245,20.366,19.1292,18.165,17.205,17.205,16.2497,15.3001,14.3574,13.423,12.138,12.138,11.1969,10.2671,9.35173,8.45557,8.45557,7.11684,6.22021,5.36029,4.55789,3.15074,3.15074,2.44311,2.00261,1.07854,1.79022,1.79022,2.52144,3.52127,4.64243,5.62084,6.83715,6.83715,8.11784,9.05213,10.3486,11.2754,11.2754,12.5813,13.9083,15.251,16.6056,17.9694,17.9694,19.3404,20.2013,21.5696,22.0988
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c12ci-2.PNG,23.7088,23.7088,22.538,22.388,21.5535,20.4061,19.2941,18.299,17.3046,16.3108,15.3178,14.2299,14.2299,13.2319,12.2342,11.237,10.2403,9.24428,8.41368,7.44201,6.26395,5.20488,4.20527,4.20527,3.20589,2.20709,1.21027,0.241316,0.807294,2.12259,3.01643,3.96136,4.92807,5.90587,5.90587,6.89005,7.87822,8.86904,9.86171,10.8557,11.8508,12.9728,13.9602,14.9493,15.9397,15.9397,16.9313,17.9238,19.0556,20.0427,21.031,22.0203,21.031,19.911,18.9171,17.9238,17.9238,16.9313,15.8371,14.8398,13.8429,12.8465,11.8508,10.8557,9.86171,8.86904,7.87822,7.87822,6.89005,5.7982,4.79851,3.79897,2.79977,1.80145,0.807294,0.241316,1.21027,2.20709,2.20709,3.31928,4.29233,5.27547,6.26395,7.44201,8.41368,9.24428,10.2403,11.3582,12.3457,12.3457,13.335,14.3258,15.3178,16.3108,17.3046,18.4281,19.2941,20.4061,21.5535,22.731
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c12i-2.PNG,49.0345,46.9638,45.6834,43.6599,42.4684,41.3393,39.4228,37.5416,35.7014,33.9088,30.8635,29.2194,27.6585,26.1956,23.8594,21.6411,19.5806,17.7331,15.9323,13.6655,12.3337,11.2915,10.6242,9.51649,9.69225,9.36107,9.45089,10.8947,12.175,13.3387,14.6837,16.1648,17.7479,19.4082,20.6563,22.4582,24.2912,27.446,29.3082,31.1875,33.081,34.7038,36.3917,38.1361,39.9295,41.7656,44.5481,46.4815,47.4237,49.4502,49.4502,48.4237,46.4815,45.5453,43.75,40.9171,39.3179,37.3658,35.6679,34.0323,32.1327,30.246,28.3748,26.5224,23.7887,22.0049,20.2614,18.5697,16.9453,15.4096,13.9916,12.7309,11.6784,10.6231,10.3519,9.47548,10.0047,10.8814,11.2707,12.0687,13.71,14.5911,17.1371,18.7248,20.5804,21.5876,23.7268,25.0148,27.3985,28.9044,30.4999,33.4887,35.2459,37.0548,38.9081,40.7998,41.8957,43.0567,45.0628,46.3172
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c12n-1.PNG,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.60078,1.60078,1.60078,1.60078,1.60078,1.60078,1.60078,1.60078,1.60078,1.60078,1.60078,1.60078,1.60078,1.60078,1.60078,1.60078,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.03078,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c12n-2.PNG,29.9668,30.1394,31.7664,33.4338,33.7668,35.5093,35.5093,35.0418,33.7668,32.0543,31.2108,30.1394,28.5599,27.7904,26.2981,25.6097,24.3133,22.9084,21.7273,20.6726,20.199,18.4471,16.8105,16.5298,16.1405,14.9938,14.0167,14.2741,12.3199,12.9252,12.4385,11.9176,12.0557,12.3691,11.5336,11.9873,12.8589,12.86,14.1439,14.3898,15.0697,15.9726,16.4966,17.6683,18.9789,20.4016,21.1481,22.6996,23.7625,24.6104,25.8662,27.6603,28.5676,30.3996,32.2516,33.184,35.0601,33.5532,31.7142,30.8022,28.9956,27.2161,26.3382,25.1459,23.5007,22.6996,21.1481,19.6777,19.719,18.461,17.343,16.8453,15.9917,14.3898,13.9655,13.8572,12.8589,13.1652,12.4766,12.3691,11.9031,12.5964,12.6891,12.4385,12.9252,14.2741,14.0167,15.039,16.1405,17.4991,18.0814,19.3722,20.199,22.0387,22.5624,23.7019,24.9499,25.6097,26.9921,27.7904
